"duplicate_key","duplicate_count","id","slug","title","company","location","status","source_type","apply_url","created_at","updated_at"
"lead software engineer remote::unitedhealth group optum","3","596598a4-d968-4211-88f2-a3ecf6fad767","lead-software-engineer-remote-unitedhealth-group-optum-4a64508e0e","Lead Software Engineer - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/lead-software-engineer-remote/34088/93962091808","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"lead software engineer remote::unitedhealth group optum","3","8aff025f-5c3b-4b2f-a3d0-e231d2e86c3c","lead-software-engineer-remote-unitedhealth-group-optum-8e5b287d2d","Lead Software Engineer - Remote","UnitedHealth Group / Optum","Minneapolis, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/minneapolis/lead-software-engineer-remote/34088/94867786224","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"lead software engineer remote::unitedhealth group optum","3","94d2ee12-5eec-46ec-a4b5-5275a685c9a8","lead-software-engineer-remote-unitedhealth-group-optum-55c6f36c67","Lead Software Engineer - Remote","UnitedHealth Group / Optum","Fort Worth, TX / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/fort-worth/lead-software-engineer-remote/34088/93389948896","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"lead analyst advanced provider data management::molina healthcare","2","93867f3c-09a8-43e5-9ad6-fa9fb7503958","lead-analyst-advanced-provider-data-management-molina-healthcare-ab2b62a93d","Lead Analyst, Advanced Provider Data Management","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"lead analyst advanced provider data management::molina healthcare","2","7a2eeec4-ce40-425c-a51c-f39229907139","lead-analyst-advanced-provider-data-management-molina-healthcare-batch-two","Lead Analyst, Advanced Provider Data Management","Molina Healthcare","United States / Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"epic professional billing analyst remote::unitedhealth group optum","2","bb58735c-aed0-4bbd-af96-b8627f68c017","epic-professional-billing-analyst-remote-unitedhealth-group-optum-73499e9a78","Epic Professional Billing Analyst - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"epic professional billing analyst remote::unitedhealth group optum","2","1a8a8fff-f253-45c0-add3-ade9b5607432","epic-professional-billing-analyst-remote-unitedhealth-group-optum-batch-two","Epic Professional Billing Analyst - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"data engineer optum advisory board remote::unitedhealth group optum","2","dc5ae61c-0bb8-430a-8f2f-809ef22fdebe","data-engineer-optum-advisory-board-remote-unitedhealth-group-optum-ccfaf8c1f7","Data Engineer - Optum Advisory Board - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"data engineer optum advisory board remote::unitedhealth group optum","2","4df7246c-9999-48de-9305-2bcf29b13286","data-engineer-optum-advisory-board-remote-unitedhealth-group-optum-batch-two","Data Engineer - Optum Advisory Board - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"principal data engineer remote::unitedhealth group optum","2","599923d9-b2fa-4690-9493-1578bf9f918f","principal-data-engineer-remote-unitedhealth-group-optum-ddc470c036","Principal Data Engineer - Remote","UnitedHealth Group / Optum","Raleigh, NC / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/raleigh/principal-data-engineer-remote/34088/94867786144","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"principal data engineer remote::unitedhealth group optum","2","b087154a-e70c-4465-8055-128c22b2715d","principal-data-engineer-remote-unitedhealth-group-optum-ace010a3ef","Principal Data Engineer - Remote","UnitedHealth Group / Optum","Raleigh, NC / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/raleigh/principal-data-engineer-remote/34088/94978225248","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"senior analyst medical economics remote::molina healthcare","2","003f9e3e-b25b-40ee-86e8-067df569f454","senior-analyst-medical-economics-remote-molina-healthcare-39dd318293","Senior Analyst, Medical Economics - Remote","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"senior analyst medical economics remote::molina healthcare","2","fd8f1d64-d09b-44c8-9331-a7a594f2e1a3","senior-analyst-medical-economics-remote-molina-healthcare","Senior Analyst, Medical Economics - Remote","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
"program manager remote data analysis and reporting::molina healthcare","2","3c0fe5dd-6c3b-4ba1-9b38-222791c7fb96","program-manager-remote-data-analysis-and-reporting-molina-healthcare-0efe3fb00b","Program Manager - Remote (Data Analysis & Reporting)","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"program manager remote data analysis and reporting::molina healthcare","2","8d05689b-5dd6-40df-a3d1-43a926a822d5","program-manager-remote-data-analysis-reporting-molina-healthcare","Program Manager - Remote (Data Analysis & Reporting)","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
"senior engineer big data medical cost grouper remote::molina healthcare","2","9a42c2e2-ca16-4764-ae16-2b975008a973","senior-engineer-big-data-medical-cost-grouper-remote-molina-healthcare-981ed23df2","Senior Engineer, Big Data - Medical Cost Grouper - Remote","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-engineer-big-data-medical-cost-grouper-remote/21726/94971335904","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"senior engineer big data medical cost grouper remote::molina healthcare","2","6673e75c-75ba-40a3-80ba-319a5f98d935","senior-engineer-big-data-medical-cost-grouper-remote-molina-healthcare-batch-two","Senior Engineer, Big Data - Medical Cost Grouper - Remote","Molina Healthcare","United States / Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-engineer-big-data-medical-cost-grouper-remote/21726/94971335904","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
