"duplicate_key","duplicate_count","id","slug","title","company","location","status","source_type","apply_url","created_at","updated_at"
"health services director new york::unitedhealth group optum","2","fb3aae4e-57bd-4226-bc2c-96e476fb28b3","health-services-director-new-york-unitedhealth-group-optum-batch2","Health Services Director - New York","UnitedHealth Group / Optum","New York, NY","approved","imported","https://careers.unitedhealthgroup.com/job/new-york/health-services-director-new-york/34088/94850990544","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"health services director new york::unitedhealth group optum","2","06467f61-7fe3-4110-b565-9399a1b6f332","health-services-director-new-york-unitedhealth-group-optum","Health Services Director - New York","UnitedHealth Group / Optum","New York, NY","approved","imported","https://careers.unitedhealthgroup.com/job/new-york/health-services-director-new-york/34088/94850990544","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
"health data analytics consultant remote::unitedhealth group optum","2","ecfc5b81-41ab-4c3d-9e20-3a042b5840df","health-data-analytics-consultant-remote-unitedhealth-group-optum-batch2","Health Data Analytics Consultant - Remote","UnitedHealth Group / Optum","Reston, VA / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/reston/health-data-analytics-consultant-remote/34088/94828967984","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"health data analytics consultant remote::unitedhealth group optum","2","c0b8b3fd-82d6-4db1-bea5-0e40d227c2ac","health-data-analytics-consultant-remote-unitedhealth-group-optum","Health Data Analytics Consultant - Remote","UnitedHealth Group / Optum","Reston, VA / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/reston/health-data-analytics-consultant-remote/34088/94828967984","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
"senior consultant payment model implementation remote::unitedhealth group optum","2","1aae521f-0895-4da9-b75d-7df631661035","senior-consultant-payment-model-implementation-remote-unitedhealth-group-optum-batch2","Senior Consultant, Payment Model Implementation - Remote","UnitedHealth Group / Optum","Washington, DC / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/washington-d-c/senior-consultant-payment-model-implementation-remote/34088/93504540096","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"senior consultant payment model implementation remote::unitedhealth group optum","2","e8a2ae23-04c1-48ce-82af-88b9d707c502","senior-consultant-payment-model-implementation-remote-unitedhealth-group-optum","Senior Consultant, Payment Model Implementation - Remote","UnitedHealth Group / Optum","Washington, DC / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/washington-d-c/senior-consultant-payment-model-implementation-remote/34088/93504540096","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
